,nom_artista,reproducciones
169,"Daddy Yankee, El Alfa & Lil Jon",1601010
170,"Migrantes, Oscu, Rombai, Agapornis & ALICO",1592620
171,Hijos de Barrón,1587089
172,Grupo Firme & Banda El Recodo De Cruz Lizarraga,1577388
173,Danny Ocean,1572355
174,Los Acosta,1559224
175,Santa Fe Klan,1544666
176,Julión Álvarez Y Su Norteño Banda,1544051
177,Cardenales de Nuevo León,1540525
178,TINI & Maria Becerra,1534455
179,Camilo & Evaluna Montaner,1497843
180,Bad Bunny,1496851
181,"Dharius, C-Kan & Tiro Loko",1493910
182,"MC Davo, Dharius, C-Kan & Zimple",1488994
183,Ozuna & Camilo,1488952
184,Yahritza Y Su Esencia,1485869
185,Carlos Rivera & Maluma,1462350
186,Mau y Ricky & Carin Leon,1455542
187,Lefty Sm & C-Kan,1452657
188,Bad Bunny,1447235
189,Los Tucanes de Tijuana,1446610
190,"Blessd, Justin Quiles & Lenny Tavárez",1438777
191,T3R Elemento & Clave 702,1437224
192,Bad Bunny,1437218
193,BTS,1436069
194,Julión Álvarez Y Su Norteño Banda,1423505
195,Virlán García,1408988
196,Los Dos Carnales,1385885
197,Bad Bunny,1382964
198,Maluma,1377531
199,Bad Bunny,1377024
200,Ovi & Kimberly Loaiza,1370860
201,Julión Álvarez,1364408
202,Christian Nodal & Banda MS de Sergio Lizárraga,1363714
203,Los Dos Carnales,1362127
204,Los Dos Carnales,1351971
205,Banda Toro,1346037
206,Julión Álvarez y su Norteño Banda,1338389
207,Bad Bunny,1325626
208,Black Eyed Peas & Shakira,1317278
209,Juan Gabriel,1310008
210,"MC Davo, Santa Fe Klan & Eirian Music",1304592
211,Esteman,1290059
212,Secretto,1281515
213,Natanael Cano & Steve Aoki,1281394
214,Omar Chaparro,1279073
215,David Santos,1277225
216,La Fiera de Ojinaga,1269718
217,Los Felinos,1264206
218,Banda Los Sebastianes,1261336
219,Grupo Firme & Los Elegantes de Jerez,1258944
220,LOS GEMELOS DE SINALOA & Fuerza Regida,1253261
221,Kimberly Loaiza & Zion & Lennox,1240431
222,Luis R Conriquez & Julián Mercado,1236342
223,Calibre 50,1236125
224,Kenia Os,1226336
225,Grupo 360,1223994
226,Carin Leon,1223590
227,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",1222490
228,Grupo Firme,1221154
229,Justin Quiles,1211976
230,"Fuego, Manuel Turizo & Duki",1197194
231,La Santa Grifa,1191778
232,"Natanael Cano, Junior H & Ovi",1186062
233,Luis R Conriquez & La Décima Banda,1183836
234,Selena,1178481
235,"Tren Lokote, Santa Fe Klan, La Santa Grifa, Mara, Sid M.S.C., Unex Msc & Bear Busby",1173119
236,Coldplay,1172011
237,Julianno Sosa & King Savagge,1169925
238,Bad Bunny,1168809
239,Eslabón Armado,1162404
240,Diego Verdaguer,1162065
241,BoyWithUke,1161546
242,Selena,1160640
243,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",1159638
244,Banda Carnaval,1155068
245,Ana Gabriel,1143786
246,Maná,1137212
247,Los Alameños de la Sierra,1135341
248,Bruno Mars,1128565
249,Juan Gabriel,1127597
250,Christian Nodal,1126648
251,Intocable,1122402
252,TWICE,1121433
253,Fuerza Regida,1118013
254,Adele,1117165
255,"Rodezel, Barça, JCBG, Jaime & Hasvik",1112951
