,nom_cancion,reproducciones
205,Te Marqué Pedo,1220836
206,En Tu Perra Vida,1217917
207,Creo en Ti,1216399
208,Palabra de Hombre,1216071
209,Cabrón y Vago - En Vivo,1213842
210,Sobrio,1199511
211,My Universe,1195539
212,LA NOCHE DE ANOCHE,1187982
213,Caramelo - Remix,1187397
214,love nwantiti (feat. Dj Yo! & AX'EL) - Remix,1186697
215,Bam Bam (feat. Ed Sheeran),1178262
216,Descansando,1171948
217,Quiéreme Mientras Se Pueda,1171348
218,Belleza De Cantina,1170088
219,El Envidioso,1166640
220,Medallo,1164700
221,Hablando Claro (En Vivo),1162340
222,Bandido,1157000
223,Porte Exuberante,1156669
224,No Me Conoce - Remix,1153766
225,Si Estuviésemos Juntos,1153754
226,Complicado,1150041
227,Todavia,1149448
228,Ojos Cerrados,1146164
229,Si Veo a Tu Mamá,1145697
230,All I Want for Christmas Is You,1145345
231,París,1144349
232,Me Metí En El Ruedo,1143947
233,Miel,1138631
234,abcdefu,1138543
235,Aquel Nap ZzZz,1137573
236,La Santa,1136523
237,Por Mi México,1131472
238,No Me Conoce - Remix,1125681
239,Hasta la Miel Amarga (feat. Grupo Firme),1119314
240,París,1117192
241,Amor a Primera Vista,1116375
242,Hasta Abajo,1113324
243,Es Que Me Gustas - En Vivo,1111383
244,No Sabía Cuánto,1108861
245,Si Veo a Tu Mamá,1099996
246,Sigo Esperando Que Vuelvas (feat. Los Golpes),1096355
247,Si Estuviésemos Juntos,1096060
248,23 (With Ape Drums),1096031
249,200 COPAS,1085791
250,Fumando Mota,1083629
251,Si Veo a Tu Mamá,1082761
252,Ahora Te Puedes Marchar,1079703
253,Pepas,1079287
254,Ya acabó - Con Becky G,1079122
255,Yo Voy (feat. Daddy Yankee),1077625
256,Aquí Abajo,1073899
257,El Paciente,1069865
258,Despeinada,1069822
259,LA CANCIÓN,1064054
260,Vete,1063421
261,Plan A,1063331
262,El Güero (Feat. Marca MP),1061399
263,El Tóxico,1061044
264,Diles,1058358
265,Híbrido,1057635
266,Ahora Te Puedes Marchar,1057294
267,Pareja Del Año,1055581
268,Ella,1054657
269,Dance Monkey,1053006
270,Cada Quien,1050510
271,Vete,1048985
272,El Ruddy,1046860
273,El Bélico,1044366
274,Vida Ventajosa,1042896
275,Caramelo,1041352
276,Me Rehúso,1038254
277,TE MUDASTE,1036686
278,Brillas,1033060
279,Amor Fugaz,1031934
280,Hawái,1029738
281,Hawái - Remix,1025413
282,Soy El Ratón,1023340
283,Yo Perreo Sola,1020170
284,Vivo en el 6,1020143
285,Me Metí En El Ruedo,1019743
286,SEJODIOTO,1017442
287,Se Fue La Pantera,1013798
288,El Buho,1013402
289,De Los Besos Que Te Di,1009902
290,BICHOTA,1009661
291,Agua (with J Balvin),1003764
292,Éxtasis,1002404
293,De Cora <3,1001952
294,Desesperados,1000337
295,La Curiosidad,1000231
296,Nace Un Borracho,1000073
297,Yo Ya No Vuelvo Contigo - En Vivo,998160
