posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
1,"Bad Bunny, Jhay Cortez",DÁKITI,Rimas Entertainment LLC,7414725,2020
2,KAROL G,BICHOTA,UMLE - Latino,6719886,2020
3,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,3870457,2020
4,Maluma,Hawái,Sony Music Latin,3652078,2020
5,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,3292992,2020
6,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,Rich Music,2678436,2020
7,"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),Shots Studios & Music/10:22pm/Interscope Records,2677503,2020
8,Farruko,La Tóxica,Sony Music Latin,2650289,2020
9,"Christian Nodal, Ángela Aguilar",Dime Cómo Quieres,Universal Music Mexico,2597973,2020
10,Boza,Hecha Pa' Mi,Sony Music Latin,2411603,2020
11,"Wisin, Myke Towers, Los Legendarios",Mi Niña,La Base Music Group/ WK Records,2379083,2020
12,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,Sony Music Latin/La Industria,2330065,2020
13,"Sebastian Yatra, Guaynaa",Chica Ideal,UMLE - Latino,2326290,2020
14,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,2289667,2020
15,Christian Nodal,Aquí Abajo,Universal Music Mexico,2254753,2020
16,Camilo,Vida de Rico,Sony Music Latin,2253712,2020
17,"El Fantasma, Los Dos Carnales",Cabrón y Vago - En Vivo,Afinarte Music,2169604,2020
18,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,2068909,2020
19,KAROL G,"Ay, DiOs Mío!",UMLE - Latino,2046718,2020
20,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),Sony Music Latin,1933849,2020
21,Justin Quiles,Jeans,WEA Latina,1875257,2020
22,"Camilo, El Alfa",BEBÉ,Sony Music Latin,1836662,2020
23,The Weeknd,Blinding Lights,Republic Records,1811767,2020
24,Jerry Di,Mi Cuarto,Nacho,1790185,2020
