posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
25,"Piso 21, Christian Nodal",Pa' Olvidarme De Ella,WM Mexico,1743167,2020
26,"Bizarrap, Nathy Peluso","Nathy Peluso: Bzrp Music Sessions, Vol. 36",DALE PLAY Records,1687322,2020
27,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),Universal Music Latino/ NEON16,1680135,2020
28,"Black Eyed Peas, Shakira",GIRL LIKE ME,Epic,1673887,2020
29,J Balvin,Azul,UMLE - Latino,1661224,2020
30,"Lenin Ramírez, Grupo Firme",Yo Ya No Vuelvo Contigo - En Vivo,DEL Records,1635404,2020
31,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,Sony Music Latin/Duars Entertainment,1612901,2020
32,"Ozuna, J Balvin, Chencho Corleone",Una Locura,Aura Music Corp.,1599330,2020
33,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,1597438,2020
34,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,1596693,2020
35,Bad Bunny,HACIENDO QUE ME AMAS,Rimas Entertainment LLC,1583759,2020
36,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,"Flow La Movie, Inc.",1572103,2020
37,Carin Leon,Tu - Live,Tamarindo Rekordsz,1525430,2020
38,Christian Nodal,Se Me Olvidó,Universal Music Mexico,1521399,2020
39,Carin Leon,Me La Avente,Tamarindo Rekordsz,1442436,2020
40,Mi Banda El Mexicano,Ramito De Violetas,Craft Recordings,1361205,2020
41,"Cali Y El Dandee, Danna Paola",Nada,Cali y El Dandee PS,1353808,2020
42,"Carlos Rivera, Maluma",100 Años,Sony Music Latin,1339787,2020
43,Propanity,Lean,Eliminate Risk LLC,1324537,2020
44,"Reik, Christian Nodal",Poco,Sony Music México,1301063,2020
45,"Piso 21, Maluma",Más De La Una,WM Mexico,1298843,2020
46,"Camilo, Christian Nodal",La Mitad,Sony Music Latin,1276426,2020
47,"Bad Bunny, Jowell & Randy, Ñengo Flow",Safaera,Rimas Entertainment LLC,1238673,2020
48,Bad Bunny,BOOKER T,Rimas Entertainment LLC,1234801,2020
49,El Fantasma,Palabra de Hombre,Afinarte Music,1216071,2020
50,"Ozuna, KAROL G, Myke Towers",Caramelo - Remix,Aura Music Corp.,1187397,2020
51,Manuel Turizo,Quiéreme Mientras Se Pueda,Sony Music Latin/La Industria,1171348,2020
52,Los Dos Carnales,El Envidioso,Afinarte Music,1166640,2020
53,"Myke Towers, Juhn",Bandido,White World Music,1157000,2020
54,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",Amor a Primera Vista,OCESA Seitrack,1116375,2020
55,"Kevin Roldan, Bryant Myers, Lyanno",Hasta Abajo,UMLE - Latino,1113324,2020
56,Bad Bunny,Si Veo a Tu Mamá,Rimas Entertainment LLC,1099996,2020
57,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,1079703,2020
58,"Ozuna, Camilo",Despeinada,Aura Music Corp.,1069822,2020
59,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,1064054,2020
60,"Grupo Firme, Carin Leon",El Tóxico,Music VIP Entertainment Inc,1061044,2020
61,Tones And I,Dance Monkey,Elektra (NEK),1053006,2020
62,Los Dos Carnales,Vida Ventajosa,Afinarte Music,1042896,2020
63,Ozuna,Caramelo,Aura Music Corp.,1041352,2020
64,"Maluma, The Weeknd",Hawái - Remix,Sony Music Latin,1025413,2020
65,Bad Bunny,Yo Perreo Sola,Rimas Entertainment LLC,1020170,2020
66,"Tainy, J Balvin",Agua (with J Balvin),NEON16/Interscope Records,1003764,2020
67,"Rauw Alejandro, J Balvin",De Cora <3,Sony Music Latin/Duars Entertainment,1001952,2020
68,Christian Nodal,Nace Un Borracho,Universal Music Mexico,1000073,2020
69,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,996568,2020
70,"Sech, J Balvin",La Luz,Rich Music,994140,2020
71,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),Music VIP Entertainment Inc,993608,2020
72,"Bad Bunny, Daddy Yankee",La Santa,Rimas Entertainment LLC,991751,2020
73,Eslabon Armado,Con Tus Besos,Eslabon Armado,985026,2020
74,"Alex Rose, Rafa Pabön",Jangueo,Los Oidos Fresh/ Los Proximos,982008,2020
75,"Maluma, Myke Towers",Madrid (feat. Myke Towers),Sony Music Latin,970924,2020
76,Camilo,Favorito,Sony Music Latin,968208,2020
77,"Arcangel, Sech, Dímelo Flow",Sigues Con El,Rimas Entertainment LLC.,966372,2020
78,Cartel De Santa,Vaya Vaya,"Babilonia Music, S.A. De C.V.",962509,2020
79,Grupo Firme,El Roto - En Vivo,Music VIP Entertainment,959176,2020
80,"Aleman, Snoop Dogg",Mi Tío Snoop,Homegrown Entertainment,958189,2020
81,Dua Lipa,Don't Start Now,Warner Records,954166,2020
82,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,952199,2020
83,Christian Nodal,No Te Contaron Mal,Universal Music Mexico,936759,2020
84,Christian Nodal,Amor Tóxico,Universal Music Mexico,927135,2020
85,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,903731,2020
86,Bad Bunny,Vete,Rimas Entertainment LLC,900585,2020
87,Cardenales De Nuevo León,Belleza De Cantina,Universal Music Mexico,897945,2020
88,Bad Bunny,YO VISTO ASÍ,Rimas Entertainment LLC,892988,2020
89,Harry Styles,Golden,Columbia,888621,2020
90,J Balvin,Rojo,UMLE - Latino,882722,2020
91,Ed Maverick,Fuentes de Ortiz,Universal Music Mexico,875791,2020
92,León Larregui,Brillas,EMI México,870071,2020
93,Harry Styles,Watermelon Sugar,Columbia,861380,2020
94,Bad Bunny,A Tu Merced,Rimas Entertainment LLC,851065,2020
95,Ariana Grande,positions,Republic Records,849963,2020
96,Chayín Rubio,Ya Me Enteré,UMLE - Fonovisa,849851,2020
97,Intocable,Fuerte No Soy,Capitol Latin,846987,2020
98,"Danna Paola, Sebastian Yatra",No Bailes Sola,Universal Music Mexico,845755,2020
99,Sech,Relación,Rich Music,841839,2020
100,BTS,Dynamite,BIGHIT MUSIC,838353,2020
101,Calibre 50,Si Te Pudiera Mentir,Calibre,832629,2020
102,"Nicky Jam, Myke Towers",Polvo,Sony Music Latin,832110,2020
103,Leon Leiden,Fondo de Bikini,WM Mexico,818570,2020
104,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,Rich Music,815374,2020
105,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,813587,2020
106,"Jhay Cortez, Bad Bunny",CÓMO SE SIENTE - Remix,N&E Entertainment LLC,812935,2020
107,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,Sony Music Entertainment,810167,2020
108,Bad Bunny,TE DESEO LO MEJOR,Rimas Entertainment LLC,806486,2020
109,Bad Bunny,HOY COBRÉ,Rimas Entertainment LLC,804556,2020
110,"Grupo Firme, Luis Alfonso Partida El Yaki",Cada Vez Te Extraño Más,Music VIP Entertainment Inc,802615,2020
111,Bad Bunny,La Difícil,Rimas Entertainment LLC,801320,2020
112,"Bad Bunny, Sech",Ignorantes,Rimas Entertainment LLC,799443,2020
113,Maluma,ADMV,Sony Music Latin,789658,2020
114,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,Lizos Music,787803,2020
115,Hombres G,Devuélveme a mi chica,WM Spain,785952,2020
116,La Factoria,Todavia,La Factoria,783909,2020
117,Valentín Elizalde,Vete Ya,Universal Music Mexico,782956,2020
118,Natanael Cano,Amor Tumbado,Rancho Humilde,782538,2020
119,Alejandro Fernández,Caballero,UMLE - Latino,781377,2020
120,Luis Miguel,La Incondicional,WEA Latina,764914,2020
121,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),Sony Music Latin,763707,2020
122,Justin Quiles,Ponte Pa' Mi,WEA Latina,761826,2020
123,Alejandro Fernández,Me Dediqué a Perderte,Columbia,760067,2020
124,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,749933,2020
125,Christian Nodal,Adiós Amor,Universal Music Mexico,744755,2020
126,Rels B,A Mí,ILoveRibs! / MÉCÈN Ent.,737714,2020
127,Dalex,+Linda,Rich Music,734718,2020
128,"Adriel Favela, Javier Rosas",La Escuela No Me Gustó,"Gerencia 360 Music, Inc.",728611,2020
129,"Los Ángeles Azules, Natalia Lafourcade",Nunca Es Suficiente,Promotodo Mexico,724785,2020
130,"Camilo, Pablo Alborán",El Mismo Aire - con Pablo Alborán,Sony Music Latin,724403,2020
131,J Balvin,Morado,UMLE - Latino,720983,2020
132,Bobby Pulido,Desvelado,Capitol Latin,718322,2020
133,Dua Lipa,Break My Heart,Warner Records,713727,2020
134,"Pepe Aguilar, Melissa Robles, Ángela Aguilar, La Marisoul",Prometiste,Pepe Aguilar,711262,2020
135,Junior H,Mente Positiva,Rancho Humilde / Z Records,706496,2020
136,Christian Nodal,AYAYAY!,Universal Music Mexico,703701,2020
137,"Grupo Firme, Banda Coloso",El Amor No Fue Pa´ Mí - En Vivo,Music VIP Entertainment,702900,2020
138,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,699204,2020
139,"Reik, Farruko, Camilo",Si Me Dices Que Sí,Sony Music México,692109,2020
140,"Jowell & Randy, J Balvin",Anaranjado,Rimas Entertainment LLC.,692062,2020
141,"Bad Bunny, ABRA",SORRY PAPI,Rimas Entertainment LLC,690085,2020
142,Mariah Carey,All I Want for Christmas Is You,Columbia,686056,2020
143,Calibre 50,Simplemente Gracias,Calibre,685506,2020
144,Joan Sebastian,Tatuajes,Musart-Balboa,681732,2020
145,Banda MS de Sergio Lizárraga,Cerrando Ciclos,Lizos Music,681701,2020
146,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,680003,2020
147,Calibre 50,Te Volvería A Elegir,Andaluz Records/Disa/UMLE,677331,2020
148,Christian Nodal,Probablemente,Universal Music Mexico,675410,2020
149,Banda MS de Sergio Lizárraga,Por Mi No Te Detengas,Lizos Music,673940,2020
150,Regard,Ride It,Ministry of Sound Recordings,673296,2020
151,Los Acosta,Como Una Novela,Universal Music Mexico,670274,2020
152,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,670015,2020
153,Danny Ocean,Me Rehúso,Atlantic Records,669366,2020
154,Junior H,Ella,Rancho Humilde,662955,2020
155,Bad Bunny,ANTES QUE SE ACABE,Rimas Entertainment LLC,658205,2020
156,"Rauw Alejandro, Farruko",Fantasias,"(SME US Latin) Duars Entertainment, Corp. (2)",654520,2020
157,"Bad Bunny, Mora",Una Vez,Rimas Entertainment LLC,652950,2020
158,Rels B,Me Olvidé De Los 2,Sony Music Entertainment,650960,2020
159,"Rauw Alejandro, Chencho Corleone",El Efecto,"Duars Entertainment, Corp.",647303,2020
160,Grupo Ensamble,Tus Jefes No Me Quieren,Hyphy Music,647139,2020
161,Luis Miguel,Culpable O No - Miénteme Como Siempre,WEA Latina,645866,2020
162,"Aya Nakamura, Maluma",Djadja (feat. Maluma) - Remix,Rec. 118,645826,2020
163,Alejandro Fernández,Te Olvidé,UMLE - Latino,644355,2020
164,Danna Paola,Mala Fama,Universal Music Mexico,644202,2020
165,Bad Bunny,LA DROGA,Rimas Entertainment LLC,642661,2020
166,Myke Towers,Diosa,"2020 One World Music & Casablanca Records | Powered by GLAD Empire, LL",641363,2020
167,Timbiriche,Con Todos Menos Conmigo,Universal Music Mexico,640908,2020
168,"Joan Sebastian, Calibre 50",Que Sea,Universal Music Mexico,636602,2020
169,"Piso 21, Micro TDH",Te Vi,WM Mexico,632864,2020
170,Selena,Amor Prohibido,EMI Latin (LAT),624887,2020
171,León Larregui,Locos,Universal Music Mexico,620741,2020
172,"Luis Angel ""El Flaco"", Grupo Firme",Hasta la Miel Amarga (feat. Grupo Firme),LAR Music,617429,2020
173,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",China,"2020 Real Hasta La Muerte, LLC",613734,2020
174,Joan Sebastian,Eso Y Más,Musart-Balboa,605380,2020
175,Inspector,Amargo Adiós,Universal Music Mexico,602695,2020
176,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),Epic,601973,2020
177,"ChiChi Peralta, Jandy Feliz",Procura,Caiman Music,601688,2020
178,Luis Miguel,Santa Claus Llegó a La Ciudad,WEA Latina,601603,2020
179,Selena,Como La Flor - Remastered,EMI Latin (LAT),599978,2020
180,Wham!,Last Christmas,Epic,599716,2020
181,"Leon Leiden, Yung Dupe, Salma, Charly Romero, Jeis, Pao Alvarado","Gitana (feat. Jeis, Pao Alvarado & Charly Romero)",WM Mexico,597774,2020
182,Paulo Londra,Tal Vez,WEA Latina,596263,2020
183,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,"2020 Real Hasta La Muerte, LLC",595423,2020
184,Danna Paola,Sodio,Universal Music Mexico,592133,2020
185,"Los 2 de la S, Banda MS de Sergio Lizárraga",Somos Los Que Somos - En Vivo,Lizos Music,591847,2020
186,Danna Paola,Oye Pablo,Universal Music Mexico,590617,2020
187,Maluma,11 PM,Sony Music Latin,589660,2020
188,Harry Nach,Tak Tiki Tak,Sony Music Entertainment Chile S.A,585962,2020
189,El Fantasma,El Circo,Afinarte Music,584699,2020
190,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",Mamichula - con Nicki Nicole,NEUEN,584576,2020
191,Bad Bunny,120,Rimas Entertainment LLC,583628,2020
192,"Aaron Smith, Krono, Luvli",Dancin (feat. Luvli) - Krono Remix,Sony Music Entertainment,583310,2020
193,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Sálvame,Universal Music Mexico,581764,2020
194,Los Elegantes de Jerez,Tú,LE Music,581047,2020
195,Luis Miguel,Por Debajo De La Mesa,WEA Latina,577981,2020
196,Flans,Las Mil Y Una Noches,Universal Music Mexico,576850,2020
197,"Camilo, Pedro Capó",Tutu,Sony Music Latin,576529,2020
198,"Alejandro Fernández, Calibre 50",Decepciones,UMLE - Latino,574834,2020
199,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,574459,2020
200,Bad Bunny,MALDITA POBREZA,Rimas Entertainment LLC,570193,2020
