posicion,nom_cancion,nom_artista,disquera,reproducciones,ano
77,Sigo Esperando Que Vuelvas (feat. Los Golpes),"MC Davo, Santa Fe Klan & Eirian Music",WM Mexico,1304592,2022
78,Nataaoki,Natanael Cano & Steve Aoki,WEA Latina,1281394,2022
79,Tú,Grupo Firme & Los Elegantes de Jerez,Music VIP Entertainment Inc,1258944,2022
80,No Le Aflojo,LOS GEMELOS DE SINALOA & Fuerza Regida,Rancho Humilde,1253261,2022
81,Cuando Te Acuerdes De Mi (En Vivo),Luis R Conriquez & Julián Mercado,Kartel Music / Vim Music / Mercado Music,1236342,2022
82,Tocame,La Santa Grifa,Somos Osos,1191778,2022
83,Yellow,Coldplay,Parlophone UK,1172011,2022
84,Cochinae,Julianno Sosa & King Savagge,Sosa Mafia Records,1169925,2022
85,Un Coco,Bad Bunny,Rimas Entertainment LLC,1168809,2022
86,Volveré,Diego Verdaguer,DIAM Music,1162065,2022
87,La Llevo Al Cielo,"Chencho Corleone, Chris Jedi, Anuel AA & Ñengo Flow",UMLE - Latino,1159638,2022
88,Perfecta,Los Alameños de la Sierra,TWIINS MUSIC GROUP,1135341,2022
89,Te Lloré Un Río,Maná,WM Mexico,1094902,2022
90,CIRCUS,Stray Kids,Sony Music Labels Inc.,1076084,2022
91,Glimpse of Us,Joji,88rising Music/Warner Records,1071672,2022
92,En Esta Vida No Se Pudo,El Mimoso Luis Antonio López,Music VIP Entertainment Inc,1066639,2022
93,Pégate,Standly,Standly,1055793,2022
94,Yo No Soy Celoso,Bad Bunny,Rimas Entertainment LLC,1055284,2022
95,Atlantis,Seafret,Sweet Jane Recordings,1023465,2022
96,Déjalo Así (En Vivo),"Luis Alfonso Partida ""El Yaki""",Lap Records Inc,1000081,2022
97,Butter,BTS,BIGHIT MUSIC,989755,2022
98,Brillo,Natanael Cano,WEA Latina,989201,2022
99,Perdoname (feat. Eddy Lover),La Factoria,La Factoria,988191,2022
100,Waka Waka (This Time for Africa),Shakira,Sony Music Entertainment Latin,988078,2022
