posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
73,"Bad Bunny, Daddy Yankee",La Santa,Rimas Entertainment LLC,1136523,2021
74,"Lefty Sm, Santa Fe Klan",Por Mi México,Rap Trap Records / Alzada Corp,1131472,2021
75,"Jhay Cortez, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,1125681,2021
76,"Luis Angel ""El Flaco"", Grupo Firme",Hasta la Miel Amarga (feat. Grupo Firme),LAR Music,1119314,2021
77,Los 2 de la S,Es Que Me Gustas - En Vivo,Lizos Music,1111383,2021
78,Bad Bunny,Si Estuviésemos Juntos,Rimas Entertainment LLC,1096060,2021
79,"Randy, Ape Drums",23 (With Ape Drums),Roses and Wine Music / One RPM,1096031,2021
80,Christian Nodal,Aquí Abajo,Universal Music Mexico,1073899,2021
81,Bad Bunny,Vete,Rimas Entertainment LLC,1063421,2021
82,"Grupo Firme, Marca MP",El Güero (Feat. Marca MP),Music VIP Entertainment Inc,1061399,2021
83,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,1057294,2021
84,Junior H,Ella,Rancho Humilde,1054657,2021
85,Danny Ocean,Me Rehúso,Atlantic Records,1038254,2021
86,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,1036686,2021
87,León Larregui,Brillas,EMI México,1033060,2021
88,Los Del Limit,Amor Fugaz,DEL Records,1031934,2021
89,Luis R Conriquez,Me Metí En El Ruedo,Kartel Music,1019743,2021
90,KAROL G,SEJODIOTO,UMLE - Latino,1017442,2021
91,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,1009902,2021
92,"Millonario & W. Corona, Cartel De Santa",Éxtasis,"Babilonia Music, S.A. de C.V.",1002404,2021
93,"Rauw Alejandro, Chencho Corleone",Desesperados,Sony Music Latin/Duars Entertainment,1000337,2021
94,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,1000231,2021
95,KAROL G,BICHOTA,UMLE - Latino,994311,2021
96,The Weeknd,Blinding Lights,Republic Records,986710,2021
97,Oliver Tree,Life Goes On,Atlantic Records,983894,2021
98,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,980261,2021
99,Banda MS de Sergio Lizárraga,El Color de Tus Ojos,Lizos Music,979342,2021
100,"Gera MX, Rels B",Se Me Olvidó,Rich Vagos Entertainment,976862,2021
101,Vicente Fernández,Mujeres Divinas,Columbia,972669,2021
