posicion,nom_cancion,nom_artista,disquera,reproducciones,ano
71,Tercera Noche (Live),Kenia Os,Lizos Music,1226336,2021
72,La Purga,Grupo 360,Grupo 360,1223994,2021
73,Quisiera Saber,Carin Leon,Tamarindo Rekordsz,1223590,2021
74,We Don't Talk About Bruno,"La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast",Walt Disney Records,1222490,2021
75,Descuide,Grupo Firme,Music VIP Entertainment,1221154,2021
76,Una Vaina Loca,"Fuego, Manuel Turizo & Duki",Chosen Few/ WK Records,1197194,2021
77,El Chino (En Vivo),Luis R Conriquez & La Décima Banda,Kartel Music,1183836,2021
78,Toxic (Live),BoyWithUke,Republic Records,1161546,2021
79,Medley Ranchero: Mi Talismán/No Entiendo/Hechizo (En Vivo),Ana Gabriel,Sony Music Latin,1143786,2021
80,Mariposa traicionera,Maná,WM Mexico,1137212,2021
81,Locked Out Of Heaven,Bruno Mars,Atlantic Records,1128565,2021
82,Hasta Que Te Conocí (En Vivo) [Desde el Instituto Nacional de Bellas Artes],Juan Gabriel,RCA Records Label,1127597,2021
83,Fuerte No Soy (Live),Intocable,Capitol Latin,1122402,2021
84,The Feels,TWICE,Republic Records - TWICE,1121433,2021
85,Navidad Sin Ti,Fuerza Regida,Rancho Humilde,1118013,2021
86,Rolling in the Deep,Adele,"XL Recordings, Sony Music Publishing",1117165,2021
87,OTRA VEZ,"Rodezel, Barça, JCBG, Jaime & Hasvik",Rodezel,1112951,2021
88,Por Tu Maldito Amor,Vicente Fernández,Columbia,1112416,2021
89,Cuando Yo Queria Ser Grande,Vicente Fernández,Sony Music Entertainment,1110957,2021
90,Aca Entre Nos,Vicente Fernández,Columbia,1102217,2021
91,DANCE CRIP,Trueno,©️ Ⓟ 2022 Sur Capital Records ™️ ( por Tierra Agencia SRL ),1090745,2021
92,La Santa,Bad Bunny & Daddy Yankee,Rimas Entertainment LLC,1082467,2021
93,Easy On Me,Adele,Columbia,1078041,2021
94,Hunter,Rauw Alejandro,Sony Music Latin/Duars Entertainment,1074554,2021
95,Es Que Me Gustas (En Vivo),Los 2 de la S,Lizos Music,1066054,2021
96,Mil Gracias Por Existir (feat. Grupo Firme),Marca MP,Marca MP,1061186,2021
97,Fumando Mota,Los Lara,Serca,1058810,2021
98,Frente a Frente,Rocío Dúrcal,RCA Records Label,1034818,2021
99,La Buena y la Mala,Banda Tierra Sagrada,REMEX MUSIC,1028583,2021
100,Cómo Te Voy A Olvidar,Los Ángeles Azules,Universal Music Mexico,1016350,2021
