posicion,nom_cancion,nom_artista,disquera,reproducciones,ano
1,BICHOTA,KAROL G,UMLE - Latino,17851042,2020
2,DÁKITI,Bad Bunny & Jhay Cortez,Rimas Entertainment LLC,11289327,2020
3,Dime Cómo Quieres,Christian Nodal & Ángela Aguilar,Universal Music Mexico,10963333,2020
4,Cabrón y Vago,El Fantasma & Los Dos Carnales,Afinarte Music,8482166,2020
5,Hawái,Maluma,Sony Music Latin,7832576,2020
6,Vida de Rico,Camilo,Sony Music Latin,5198489,2020
7,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap & Nathy Peluso,Dale Play Records,5045466,2020
8,Reloj,Rauw Alejandro & Anuel AA,Sony Music Latin/Duars Entertainment,4727512,2020
9,Hasta La Miel Amarga (En Vivo) (feat. Grupo Firme),"Luis Angel ""El Flaco""",LAR Music,4431549,2020
10,Caramelo (Remix),"KAROL G, Myke Towers & Ozuna",Aura Music Corp.,4062475,2020
11,Parce (feat. Lenny Tavárez & Justin Quiles),Maluma,Sony Music Latin,4038656,2020
12,BEBÉ,Camilo & El Alfa,Sony Music Latin,3881369,2020
13,Se Te Nota,Lele Pons & Guaynaa,Shots Studios & Music/10:22pm/Interscope Records,3829612,2020
14,GIRL LIKE ME,Black Eyed Peas & Shakira,Epic,3812511,2020
15,El Tóxico,Grupo Firme & Carin Leon,Music VIP Entertainment Inc,3806193,2020
16,Palabra De Hombre,El Fantasma,Afinarte Music,3721909,2020
17,Relación (Remix),"Sech, Daddy Yankee, J Balvin, Rosalía & Farruko",Rich Music,3670318,2020
18,El Envidioso,Los Dos Carnales,Afinarte Music,3653119,2020
19,La Tóxica (Remix) (feat. Jay Wheeler & Tempo),"Farruko, Sech & Myke Towers",Sony Music Latin,3549627,2020
20,Te Apuesto,Marca MP,Marca MP,3474904,2020
21,Agua,Tainy & J Balvin,NEON16/Interscope Records,3474095,2020
22,LA NOCHE DE ANOCHE,Bad Bunny & Rosalía,Rimas Entertainment LLC,3381313,2020
23,Tú (Live),Carin Leon,TAMARINDO RECORDS,3348199,2020
24,Como La Flor (Live From Astrodome),Selena,EMI Latin (LAT),3325659,2020
25,Aquí Abajo,Christian Nodal,Universal Music Mexico,3293711,2020
26,La Jeepeta (Remix),"Nio Garcia, Brray, Juanka, Anuel AA & Myke Towers",Flow La Movie,2975045,2020
27,La Curiosidad,"Jay Wheeler, DJ Nelson & Myke Towers",Linked Music / Dynamic Records / EMPIRE,2861160,2020
28,Vida Ventajosa,Los Dos Carnales,Afinarte Music,2833623,2020
29,El Baile De Santa Clos,Grupo Exterminador,UMLE - Fonovisa,2628903,2020
30,Somos Los Que Somos (En Vivo),Los 2 de la S & Banda MS de Sergio Lizárraga,Lizos Music,2449860,2020
31,"Ay, DiOs Mío!",KAROL G,UMLE - Latino,2431887,2020
32,Vaya Vaya,Cartel De Santa,"Babilonia Music, S.A. De C.V.",2428864,2020
33,Cerrando Ciclos,Banda MS de Sergio Lizárraga,Lizos Music,2400091,2020
34,Bandido,Myke Towers,White World Music,2358148,2020
35,Nieves de Enero (En Vivo),Chalino Sanchez,Musart-Balboa,2351947,2020
36,Desde Morro,Justin Morales,Rancho Humilde,2293051,2020
37,Devuélveme A Mi Chica,Hombres G,WM Spain,2210056,2020
38,Mi Niña (Remix) (feat. Los Legendarios),"Myke Towers, Wisin & Maluma",Sony Music Group,2149160,2020
39,Yo Perreo Sola,Bad Bunny,Rimas Entertainment LLC,2131056,2020
40,Tattoo (Remix),Rauw Alejandro & Camilo,Sony Music Latin/Duars Entertainment,2123404,2020
41,Nada,Cali y El Dandee & Danna Paola,Cali y El Dandee PS,2117567,2020
42,Hasta Abajo,"Kevin Roldan, Bryant Myers & Lyanno",UMLE - Latino,2117009,2020
43,Mi Tío Snoop (feat. Snoop Dogg),Alemán,"Homegrown Entertainment, BMG Publishing",2097328,2020
44,El Efecto,Rauw Alejandro & Chencho Corleone,"Duars Entertainment, Corp.",2067282,2020
45,HACIENDO QUE ME AMAS,Bad Bunny,Rimas Entertainment LLC,2021454,2020
46,Hecha Pa' Mi,Boza,Sony Music Latin,1990459,2020
47,Amén,"Ricardo Montaner, Mau y Ricky, Camilo & Evaluna Montaner","Hecho A Mano Music, LLC",1971897,2020
48,Típico Clásico / Yo Sé Que Te Acordarás (Live),Grupo Firme & El Mimoso Luis Antonio López,"TuStream, LLC",1969892,2020
49,17 Años (Live) (feat. Jay de la Cueva),Los Ángeles Azules,Promotodo Mexico,1959736,2020
50,Navidad Sin Ti,Los Bukis,"Fonovisa, Warner Chappell Music",1951741,2020
51,Ayer Me LLamó Mi Ex (feat. Lenny Santos),KHEA,Young Flex/Interscope Records,1902363,2020
52,Chica Ideal,Sebastián Yatra & Guaynaa,UMLE - Latino,1868747,2020
53,Apaga la Luz,Kim Loaiza,Space Music,1846764,2020
54,Te Encontré (En Vivo),Ulices Chaidez,DEL Records,1739150,2020
55,La Casita,Banda MS de Sergio Lizárraga,Lizos Music,1677983,2020
56,El Privilegio de Amar (Live),Mijares,Universal Music Mexico,1643660,2020
57,Si me tomo una cerveza (REMIX),"Migrantes, Oscu, Rombai, Agapornis & ALICO",LEB Records,1592620,2020
58,Como Una Novela,Los Acosta,Universal Music Mexico,1559224,2020
59,Mi Cómplice,Cardenales de Nuevo León,Universal Music Mexico,1540525,2020
60,HOY COBRÉ,Bad Bunny,Rimas Entertainment LLC,1496851,2020
61,El Pasado Está Olvidado,"Dharius, C-Kan & Tiro Loko",EL CLAN RECORDS,1493910,2020
62,Préndete Un Blunt (Remix),"MC Davo, Dharius, C-Kan & Zimple",WM Mexico,1488994,2020
63,Despeinada,Ozuna & Camilo,Aura Music Corp.,1488952,2020
64,100 Años,Carlos Rivera & Maluma,Sony Music Latin,1462350,2020
65,BOOKER T,Bad Bunny,Rimas Entertainment LLC,1447235,2020
66,Dynamite,BTS,BIGHIT MUSIC,1436069,2020
67,El Borracho,Los Dos Carnales,Afinarte Music,1362127,2020
68,Tristes Navidades,Los Dos Carnales,Afinarte Music,1351971,2020
69,La Noche Que Murio Chicago,Banda Toro,Musica del Pueblo,1346037,2020
70,Hasta Que Te Conocí (En Vivo) [Desde el Instituto Nacional de Bellas Artes],Juan Gabriel,RCA Records Label,1310008,2020
71,Tan Bella y Tan Presumida (En Vivo),Secretto,Secretto Music,1281515,2020
72,No Eres La Oficial,David Santos,La Empresa Music,1277225,2020
73,Te Volvería A Elegir,Calibre 50,Andaluz Records/Disa/UMLE,1236125,2020
74,Jeans,Justin Quiles,WEA Latina,1211976,2020
75,Verdes Verdes,"Natanael Cano, Junior H & Ovi",WEA Latina,1186062,2020
76,El Chico Del Apartamento 512,Selena,EMI Latin (LAT),1178481,2020
77,Liga Malandra 2,"Tren Lokote, Santa Fe Klan, La Santa Grifa, Mara, Sid M.S.C., Unex Msc & Bear Busby",Vende Music,1173119,2020
78,Mi Historia Entre Tus Dedos,Eslabón Armado,DEL Records,1162404,2020
79,Amor Prohibido,Selena,EMI Latin (LAT),1160640,2020
80,"Olvidarte, ¿Cómo?",Banda Carnaval,Andaluz Music - Banda Carnaval,1155068,2020
81,Nace Un Borracho,Christian Nodal,Universal Music Mexico,1126648,2020
82,Año Viejo,Tony Camargo,RCA Records Label,1109251,2020
83,Fuerte No Soy (Live),Intocable,Capitol Latin,1087784,2020
84,No Llega El Olvido,Jenni Rivera,Jenni Rivera Enterprises LLC,1072002,2020
85,A Mi Manera (En Vivo) [Un Azteca en el Azteca],Vicente Fernández,Columbia,1059970,2020
86,Que Me Falto (En vivo),Marca MP,Marca MP,1050870,2020
87,La Dosis Perfecta,Panteón Rococó,El Cocodrilo Solitario S. De R. L. De C.V.,1050378,2020
88,Te Soñé,Jay Wheeler,"2019 UMS Music & Dynamic Records | Distributed by GLAD Empire, LLC",1038594,2020
89,La Mejor de Todas,Eslabón Armado,DEL Records,1038158,2020
90,EL Columpio,Los Rieleros del Norte,Fonovisa,1024330,2020
91,Como Duele Equivocarse,Carin Leon & Espinoza Paz,Tamarindo Recordsz,1023020,2020
92,Poco,Reik & Christian Nodal,Sony Music México,1018366,2020
93,Bonita,Jeeiph,Play Music,1017398,2020
94,Singapur (Remix),"El Alfa, Farruko, Myke Towers, Justin Quiles & Chencho Corleone",El Jefe Records,1010807,2020
95,Bye Bye,Gera Mx,Rich Vagos Entertainment,985715,2020
96,Que Te Ruegue Quien Te Quiera,Banda El Recodo De Cruz Lizarraga,Fonovisa,978360,2020
97,TREN LOKOTE // PERDON // VIDEO OFICIAL,Jose Friensch,PLATTENLABEL,974944,2020
98,Desvelado,Bobby Pulido,Capitol Latin,973072,2020
99,Enchule,Rauw Alejandro,Sony Music Latin/Duars Entertainment,970922,2020
100,La Buena y la Mala,Banda Tierra Sagrada,REMEX MUSIC,962810,2020
