posicion,nom_artista,nom_cancion,disquera,reproducciones,ano
141,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),WEA Latina,981434,2022
142,Kenia OS,Llévatelo,Sony Music México,978341,2022
143,Luis Miguel,Ahora Te Puedes Marchar,WM Mexico,973528,2022
144,"Luis Angel ""El Flaco""",Y Si Se Quiere Ir,LAR Music,968003,2022
145,Junior H,Ella,Rancho Humilde,955773,2022
146,KAROL G,SEJODIOTO,UMLE - Latino,950184,2022
147,Efecto Elegante,Préstame Tu Corazón,Premier Music Group,949435,2022
148,Matisse,Un Nuevo Amor,Sony Music México,946373,2022
149,"Mora, Sech",TUS LÁGRIMAS,Rimas Entertainment LLC,940492,2022
150,DEKKO,12x3,HIA Ent./Interscope Records,940133,2022
151,Coldplay,Yellow,Parlophone UK,938982,2022
152,"Mora, Bad Bunny, Sech",Volando - Remix,Rimas Entertainment LLC,937140,2022
153,Calibre 50,Míranos Ahora,"Andaluz Music, LLC",937088,2022
154,Rels B,A Mí,ILoveRibs! / MÉCÈN Ent.,931060,2022
155,Kevin Kaarl,Amor Viejo,Kevin Kaarl,920019,2022
156,Plan B,Es un Secreto,Pina Records,914094,2022
157,"Cartel De Santa, Millonario",Burbujas de Cristal,"Babilonia Music, S.A. De C.V.",910675,2022
158,La Humildad De La Musica Norteña,Huapango Amor Ranchero,la humildad de la musica norteña,909840,2022
159,The Weeknd,Blinding Lights,Republic Records,907471,2022
160,Tito Torbellino Jr,El Vago De Los Nike,Torbellino Legacy Est 16,906837,2022
161,"Lenin Ramírez, Fuerza Regida, Banda Renovacion",Se Acabo - En Vivo,DEL Records,894658,2022
162,"TINI, Maria Becerra",Miénteme,Sony Music Latin,889787,2022
163,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,885143,2022
164,"Carin Leon, Conjunto Primavera",El Amor De Tu Vida,Tamarindo Rekordsz,885022,2022
165,La Santa Grifa,Tocame,Somos Osos,884918,2022
166,Grupo Los de la O,El Fat Tony,"Manzana Records, Inc.",884764,2022
167,Hombres G,Devuélveme a mi chica,WM Spain,880017,2022
168,"Mau y Ricky, Carin Leon",Llorar y Llorar - con Carin Leon,Sony Music Latin,872300,2022
169,"Grupo Firme, Banda El Recodo",El Reemplazo,Music VIP Entertainment Inc,870537,2022
170,Shakira,Antologia,Epic,869456,2022
171,Fuerza Regida,Descansando,Rancho Humilde,867811,2022
172,Alejandro Fernández,Me Dediqué a Perderte,Columbia,867494,2022
173,"Calibre 50, Santa Fe Klan, Beto Sierra",Cuidando El Territorio,BS Music,863545,2022
174,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,862485,2022
175,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,861384,2022
176,"Julianno Sosa, King Savagge",Cochinae,Sosa Mafia Records,859878,2022
177,JR Torres,Un Suspiró,Jr Torres,858215,2022
178,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,857384,2022
179,"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",DALE PLAY Records / Paulo Londra,856770,2022
180,Siddhartha,0:00,Sony Music México,853957,2022
181,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,852710,2022
182,Cartel De Santa,Todas Mueren por Mí,Ariola,852465,2022
183,Fuerza Regida,Me Acostumbre A Lo Bueno,Rancho Humilde,851809,2022
184,"Rauw Alejandro, Mr. Naisgai",2/Catorce,Sony Music Latin/Duars Entertainment,851383,2022
185,Cardenales De Nuevo León,Belleza De Cantina,Universal Music Mexico,851326,2022
186,Mi Banda El Mexicano,Ramito De Violetas,Craft Recordings,850736,2022
187,Flans,Las Mil Y Una Noches,Universal Music Mexico,848214,2022
188,"J Balvin, Maria Becerra",Qué Más Pues?,"Sueños Globales, LLC",846580,2022
189,"Santa Fe Klan, Big Soto, Neto Peña",Todo Va a Estar Bien,473 Music,845917,2022
190,Leo Rizzi,Amapolas,WM Spain,845324,2022
191,"Millonario & W. Corona, Cartel De Santa",Éxtasis,"Babilonia Music, S.A. de C.V.",844178,2022
192,Kevin Kaarl,Si Supieras,Kevin Kaarl,837573,2022
193,Los Enanitos Verdes,Lamento Boliviano,EMI Latin,835694,2022
194,Los Gemelos De Sinaloa,Si Me Ven,Desvelada Records,833249,2022
195,Christian Nodal,De Los Besos Que Te Di,Universal Music Mexico,832536,2022
196,"Adriel Favela, La Cotorrisa, Strecci",Contigo No Fue,UMLE - Fonovisa,831275,2022
197,León Larregui,Locos,Universal Music Mexico,829891,2022
198,Intocable,Fuerte No Soy,Capitol Latin,826824,2022
199,Los Del Limit,Amor Fugaz,DEL Records,825533,2022
200,"Camilo, Evaluna Montaner",Índigo,Sony Music Latin,822087,2022
