,nom_cancion,reproducciones
182,Préndete Un Blunt (Remix),1488994
183,Despeinada,1488952
184,Esta Noche,1485869
185,100 Años,1462350
186,Llorar y Llorar,1455542
187,Par de Dosis,1452657
188,BOOKER T,1447235
189,La Chona,1446610
190,Medallo,1438777
191,Siempre Clave,1437224
192,Después de la Playa,1437218
193,Dynamite,1436069
194,Terrenal,1423505
195,Híbrido,1408988
196,Me Vale Madre,1385885
197,Me Fui de Vacaciones,1382964
198,Nos Comemos Vivos (feat. Chencho Corleone),1377531
199,Un Ratito,1377024
200,Despues De Las 12,1370860
201,La Sonrisa Obligatoria,1364408
202,La Sinvergüenza,1363714
203,El Borracho,1362127
204,Tristes Navidades,1351971
205,La Noche Que Murio Chicago,1346037
206,Y Me Da Vergüenza,1338389
207,Dos Mil 16,1325626
208,GIRL LIKE ME,1317278
209,Hasta Que Te Conocí (En Vivo) [Desde el Instituto Nacional de Bellas Artes],1310008
210,Sigo Esperando Que Vuelvas (feat. Los Golpes),1304592
211,Mr. Trance,1290059
212,Tan Bella y Tan Presumida (En Vivo),1281515
213,Nataaoki,1281394
214,Las Locuras Mías (feat. Joey Montana),1279073
215,No Eres La Oficial,1277225
216,No Paras de Hacerme Feliz,1269718
217,Yo Quiero Quebrarte,1264206
218,A Través Del Vaso,1261336
219,Tú,1258944
220,No Le Aflojo,1253261
221,Mejor Sola,1240431
222,Cuando Te Acuerdes De Mi (En Vivo),1236342
223,Te Volvería A Elegir,1236125
224,Tercera Noche (Live),1226336
225,La Purga,1223994
226,Quisiera Saber,1223590
227,We Don't Talk About Bruno,1222490
228,Descuide,1221154
229,Jeans,1211976
230,Una Vaina Loca,1197194
231,Tocame,1191778
232,Verdes Verdes,1186062
233,El Chino (En Vivo),1183836
234,El Chico Del Apartamento 512,1178481
235,Liga Malandra 2,1173119
236,Yellow,1172011
237,Cochinae,1169925
238,Un Coco,1168809
239,Mi Historia Entre Tus Dedos,1162404
240,Volveré,1162065
241,Toxic (Live),1161546
242,Amor Prohibido,1160640
243,La Llevo Al Cielo,1159638
244,"Olvidarte, ¿Cómo?",1155068
245,Medley Ranchero: Mi Talismán/No Entiendo/Hechizo (En Vivo),1143786
246,Mariposa traicionera,1137212
247,Perfecta,1135341
248,Locked Out Of Heaven,1128565
249,Hasta Que Te Conocí (En Vivo) [Desde el Instituto Nacional de Bellas Artes],1127597
250,Nace Un Borracho,1126648
251,Fuerte No Soy (Live),1122402
252,The Feels,1121433
253,Navidad Sin Ti,1118013
254,Rolling in the Deep,1117165
255,OTRA VEZ,1112951
256,Por Tu Maldito Amor,1112416
257,Cuando Yo Queria Ser Grande,1110957
258,Año Viejo,1109251
259,Aca Entre Nos,1102217
260,Te Lloré Un Río,1094902
261,DANCE CRIP,1090745
262,Fuerte No Soy (Live),1087784
263,La Santa,1082467
264,Easy On Me,1078041
265,CIRCUS,1076084
266,Hunter,1074554
