,nom_artista,reproducciones
165,"Imagine Dragons, JID, Arcane, League of Legends",1375168
166,"Grupo Firme, Carin Leon",1369545
167,"TINI, Maria Becerra",1368311
168,Mi Banda El Mexicano,1361205
169,"Cali Y El Dandee, Danna Paola",1353808
170,Morat,1353464
171,Junior H,1349427
172,"Aventura, Bad Bunny",1346545
173,"Carlos Rivera, Maluma",1339787
174,Rauw Alejandro,1339660
175,"Mora, Bad Bunny, Sech",1328085
176,Propanity,1324537
177,Leo Rizzi,1323827
178,Danny Ocean,1318085
179,Los 2 de la S,1317622
180,"Dímelo Flow, Dalex, Sech, Justin Quiles, Arcangel, De La Ghetto, Lenny Tavárez",1307786
181,"Maluma, Chencho Corleone",1306383
182,"Reik, Christian Nodal",1301063
183,"Piso 21, Maluma",1298843
184,Natalia Lafourcade,1278330
185,Bad Bunny,1277535
186,"Camilo, Christian Nodal",1276426
187,Carin Leon,1274414
188,Maluma,1269630
189,Yahritza Y Su Esencia,1266305
190,"Marc Seguí, Rauw Alejandro, Pol Granch",1266153
191,Lizzo,1261054
192,Carin Leon,1254582
193,Los Gemelos De Sinaloa,1254304
194,El Fantasma,1251861
195,Banda MS de Sergio Lizárraga,1248102
196,"Eslabon Armado, DannyLux",1247320
197,"Peso Pluma, Raul Vega",1242776
198,Kevin Kaarl,1240340
199,"Tiësto, KAROL G",1239516
200,Santa Fe Klan,1239126
201,"Bad Bunny, Jowell & Randy, Ñengo Flow",1238673
202,"Santa Fe Klan, Nanpa Básico",1236145
203,Bad Bunny,1234801
204,"Alejo, Feid, ROBI",1223868
205,"Alex Luna, DAAZ",1220836
206,"Grupo Firme, Lenin Ramírez",1217917
207,Eden Muñoz,1216399
208,El Fantasma,1216071
209,"El Fantasma, Los Dos Carnales",1213842
210,Maluma,1199511
211,"Coldplay, BTS",1195539
212,"Bad Bunny, ROSALÍA",1187982
213,"Ozuna, KAROL G, Myke Towers",1187397
214,"CKay, Dj Yo!, AX'EL",1186697
215,"Camila Cabello, Ed Sheeran",1178262
216,Fuerza Regida,1171948
217,Manuel Turizo,1171348
218,Cardenales De Nuevo León,1170088
219,Los Dos Carnales,1166640
220,"Blessd, Justin Quiles, Lenny Tavárez",1164700
221,"Grupo Firme, Grupo Recluta",1162340
222,"Myke Towers, Juhn",1157000
223,"Natanael Cano, Oscar Maydon",1156669
224,"Jhay Cortez, J Balvin, Bad Bunny",1153766
225,Bad Bunny,1153754
226,"Gera MX, Jayrick, Ervin River",1150041
227,La Factoria,1149448
228,"Banda MS de Sergio Lizárraga, Carin Leon",1146164
229,Bad Bunny,1145697
230,Mariah Carey,1145345
231,Ingratax,1144349
232,Luis R Conriquez,1143947
233,Lauri Garcia,1138631
234,GAYLE,1138543
235,Rauw Alejandro,1137573
236,"Bad Bunny, Daddy Yankee",1136523
237,"Lefty Sm, Santa Fe Klan",1131472
238,"Jhay Cortez, J Balvin, Bad Bunny",1125681
239,"Luis Angel ""El Flaco"", Grupo Firme",1119314
240,"Morat, Duki",1117192
241,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",1116375
242,"Kevin Roldan, Bryant Myers, Lyanno",1113324
243,Los 2 de la S,1111383
244,"Eden Muñoz, Michelle Maciel",1108861
245,Bad Bunny,1099996
246,"MC Davo, Santa Fe Klan, Eirian Music, Los Golpes",1096355
247,Bad Bunny,1096060
248,"Randy, Ape Drums",1096031
249,KAROL G,1085791
250,Los Lara,1083629
251,Bad Bunny,1082761
252,Luis Miguel,1079703
253,Farruko,1079287
254,"Marca MP, Becky G",1079122
255,Zion & Lennox,1077625
256,Christian Nodal,1073899
257,Alfredo Olivas,1069865
258,"Ozuna, Camilo",1069822
259,"J Balvin, Bad Bunny",1064054
260,Bad Bunny,1063421
261,Paulo Londra,1063331
262,"Grupo Firme, Marca MP",1061399
263,"Grupo Firme, Carin Leon",1061044
264,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",1058358
265,Virlan Garcia,1057635
266,Luis Miguel,1057294
267,"Sebastian Yatra, Myke Towers",1055581
268,Junior H,1054657
269,Tones And I,1053006
270,"Grupo Firme, Maluma",1050510
271,Bad Bunny,1048985
272,Edgardo Nuñez,1046860
273,El Fantasma,1044366
274,Los Dos Carnales,1042896
275,Ozuna,1041352
276,Danny Ocean,1038254
277,Bad Bunny,1036686
278,León Larregui,1033060
279,Los Del Limit,1031934
280,Maluma,1029738
281,"Maluma, The Weeknd",1025413
282,Código FN,1023340
283,Bad Bunny,1020170
284,Christian Nodal,1020143
285,Luis R Conriquez,1019743
286,KAROL G,1017442
287,Grupo Recluta,1013798
288,Luis R Conriquez,1013402
289,Christian Nodal,1009902
290,KAROL G,1009661
291,"Tainy, J Balvin",1003764
292,"Millonario & W. Corona, Cartel De Santa",1002404
293,"Rauw Alejandro, J Balvin",1001952
294,"Rauw Alejandro, Chencho Corleone",1000337
295,"Jay Wheeler, DJ Nelson, Myke Towers",1000231
296,Christian Nodal,1000073
297,"Lenin Ramírez, Grupo Firme",998160
298,"Jhay Cortez, J Balvin, Bad Bunny",996568
299,León Larregui,995136
300,KAROL G,994311
301,"Sech, J Balvin",994140
302,"Grupo Firme, Marca MP",993608
303,"Bad Bunny, Daddy Yankee",991751
304,"Bad Bunny, Mora",989477
305,The Weeknd,986710
306,Eslabon Armado,985026
307,"KAROL G, Mariah Angeliq",984899
308,Oliver Tree,983894
309,"Coldplay, BTS",983736
310,"Alex Rose, Rafa Pabön",982008
311,"Tiago PZK, Ozuna",981434
312,"Carin Leon, Conjunto Primavera",980261
313,Banda MS de Sergio Lizárraga,979342
314,Kenia OS,978341
315,"Gera MX, Rels B",976862
316,Luis Miguel,973528
317,Vicente Fernández,972669
318,"Maluma, Myke Towers",970924
319,Carin Leon,969185
320,Camilo,968208
321,"Luis Angel ""El Flaco""",968003
322,"Arcangel, Sech, Dímelo Flow",966372
323,"Bad Bunny, Tainy",963242
324,Cartel De Santa,962509
325,"Lil Nas X, Jack Harlow",962191
326,Grupo Firme,959176
327,"Aleman, Snoop Dogg",958189
328,Virlan Garcia,957836
329,Junior H,955773
330,Dua Lipa,954166
331,Billie Eilish,952199
332,Santa Fe Klan,951543
333,KAROL G,950184
334,Efecto Elegante,949435
335,Luis Miguel,948645
336,Matisse,946373
337,"Tiago PZK, LIT killah",944359
338,"Mora, Sech",940492
339,DEKKO,940133
340,"Rauw Alejandro, Mr. Naisgai",939776
341,Rels B,939476
342,Coldplay,938982
343,"Los Legendarios, Wisin, Jhay Cortez",938178
344,"Lupillo Rivera, Aleman, Santa Fe Klan, Snoop Dogg, B-Real",937150
345,"Mora, Bad Bunny, Sech",937140
346,Calibre 50,937088
347,Christian Nodal,936759
348,Alejandro Fernández,936124
349,Rels B,931060
350,Christian Nodal,927135
351,Intocable,926391
352,Vicente Fernández,923705
353,Kevin Kaarl,920019
354,Wham!,914970
355,Plan B,914094
356,La Santa Grifa,912887
357,"Cartel De Santa, Millonario",910675
358,La Humildad De La Musica Norteña,909840
359,The Weeknd,907471
360,Tito Torbellino Jr,906837
361,Bad Bunny,903731
362,Bobby Pulido,901988
363,Bad Bunny,901817
364,Bad Bunny,900585
365,"Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow, DJ Luian, Mambo Kingz",898943
366,Cardenales De Nuevo León,897945
367,"Lenin Ramírez, Fuerza Regida, Banda Renovacion",894658
368,Rauw Alejandro,893152
369,Bad Bunny,892988
370,"TINI, Maria Becerra",889787
371,Pablo Alborán,888901
372,El Fantasma,888669
373,Harry Styles,888621
374,"Nio Garcia, J Balvin, Bad Bunny",885143
375,"Carin Leon, Conjunto Primavera",885022
376,La Santa Grifa,884918
377,Grupo Los de la O,884764
378,"Monsieur Periné, Vicente Garcia",884690
379,J Balvin,882722
380,Hombres G,880017
381,Ed Maverick,875791
382,"Mau y Ricky, Carin Leon",872300
383,"Grupo Firme, Banda El Recodo",870537
384,León Larregui,870071
385,Shakira,869456
386,Fuerza Regida,867811
387,Alejandro Fernández,867494
388,"Pancho Barraza, Grupo Firme",866455
389,"Gerardo Ortiz, Aleman",864842
